category,country,scenario,source,unit,variable,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
M.0.EL,COD,HISTCR,PRIMAP-hist_v2.3.1,Gg CO2 / yr,CO2-total-excl-LU,3790.0,2860.0,2600.0,2480.0,2720.0,2870.0,3250.0,3510.0,3580.0,3610.0,3680.0,3910.0,3770.0,3980.0,3860.0,3860.0,3840.0,4240.0,4440.0,4090.0,4570.0,5460.0,5040.0,7230.0,9380.0,5860.0,4420.0,5070.0,6410.0,5900.0
M.0.EL,COG,HISTCR,PRIMAP-hist_v2.3.1,Gg CO2 / yr,CO2-total-excl-LU,2730.0,2810.0,3020.0,2890.0,3500.0,3360.0,4200.0,5010.0,4080.0,4190.0,4600.0,4560.0,2960.0,3750.0,3820.0,4480.0,4910.0,4370.0,4370.0,5060.0,5430.0,5010.0,5170.0,6070.0,5640.0,5820.0,5990.0,5630.0,6240.0,5190.0
M.0.EL,COK,HISTCR,PRIMAP-hist_v2.3.1,Gg CO2 / yr,CO2-total-excl-LU,36.7,36.7,36.7,40.4,40.4,40.4,47.7,47.7,47.7,47.7,47.8,33.1,22.0,29.4,47.7,55.1,47.8,47.8,47.7,44.1,51.4,58.7,62.4,62.4,66.1,62.4,62.5,69.8,71.7,101.0
M.0.EL,COL,HISTCR,PRIMAP-hist_v2.3.1,Gg CO2 / yr,CO2-total-excl-LU,46600.0,49100.0,52900.0,54500.0,54900.0,56600.0,56900.0,61300.0,60800.0,55000.0,57400.0,55000.0,54300.0,56100.0,57100.0,60400.0,68000.0,67600.0,65400.0,71200.0,69600.0,66800.0,71000.0,79400.0,80700.0,76200.0,88900.0,81000.0,82700.0,88100.0
M.0.EL,COM,HISTCR,PRIMAP-hist_v2.3.1,Gg CO2 / yr,CO2-total-excl-LU,63.8,67.5,67.5,71.2,71.3,75.0,78.7,82.4,89.8,93.5,105.0,105.0,105.0,134.0,145.0,142.0,164.0,105.0,109.0,134.0,164.0,138.0,146.0,179.0,157.0,171.0,204.0,241.0,253.0,222.0
M.0.EL,CPV,HISTCR,PRIMAP-hist_v2.3.1,Gg CO2 / yr,CO2-total-excl-LU,96.5,100.0,108.0,111.0,115.0,122.0,144.0,148.0,159.0,185.0,218.0,237.0,277.0,310.0,332.0,442.0,476.0,509.0,472.0,523.0,560.0,620.0,506.0,499.0,491.0,495.0,542.0,582.0,747.0,760.0
M.0.EL,CRI,HISTCR,PRIMAP-hist_v2.3.1,Gg CO2 / yr,CO2-total-excl-LU,2820.0,3210.0,3650.0,3840.0,5120.0,4750.0,4690.0,4890.0,5180.0,5310.0,5250.0,5420.0,5910.0,6180.0,6320.0,6090.0,6520.0,7210.0,7290.0,7080.0,6950.0,6780.0,6710.0,7020.0,7160.0,6840.0,7320.0,7660.0,8240.0,9160.0
M.0.EL,CUB,HISTCR,PRIMAP-hist_v2.3.1,Gg CO2 / yr,CO2-total-excl-LU,34700.0,30500.0,22100.0,21000.0,22500.0,26700.0,28000.0,25700.0,25400.0,26200.0,26900.0,25200.0,25100.0,24400.0,23900.0,24900.0,25400.0,24900.0,26700.0,26900.0,32200.0,27800.0,28100.0,26500.0,26000.0,27500.0,26400.0,23700.0,24500.0,25400.0
M.0.EL,CYP,HISTCR,PRIMAP-hist_v2.3.1,Gg CO2 / yr,CO2-total-excl-LU,4690.0,5190.0,5550.0,5790.0,6020.0,5890.0,6230.0,6310.0,6610.0,6870.0,7120.0,6990.0,7180.0,7570.0,7800.0,7960.0,8180.0,8500.0,8710.0,8470.0,8100.0,7790.0,7260.0,6580.0,6950.0,6970.0,7370.0,7520.0,7340.0,7340.0
M.0.EL,CZE,HISTCR,PRIMAP-hist_v2.3.1,Gg CO2 / yr,CO2-total-excl-LU,164000.0,149000.0,145000.0,139000.0,132000.0,132000.0,135000.0,131000.0,125000.0,117000.0,127000.0,127000.0,124000.0,127000.0,128000.0,126000.0,126000.0,128000.0,123000.0,115000.0,118000.0,115000.0,111000.0,107000.0,104000.0,105000.0,107000.0,108000.0,106000.0,101000.0
